"YR","PROGRAM","STATE","ID","REP","HT_Clay Center","HT_Lincoln","HT_Sidney","TW_Clay Center","TW_Lincoln","TW_Sidney","YLD_Clay Center","YLD_Lincoln","YLD_Sidney"
2014,"University of Nebraska"," NE","CO11D1353",1,86,91.0082,90,NA,792,806,4264,4728,6160
2014,"University of Nebraska"," NE","CO11D1371",1,84,89.9922,88,NA,812,801,3779,5393,5326
2014,"University of Nebraska"," NE","CO11D1380",1,82,86.0044,82,NA,787,807,3793,4533,4977
2014,"University of Nebraska"," NE","CO11D1397",1,80,75.9968,73,NA,770,804,3638,4694,5003
2014,"University of Nebraska"," NE","CO11D1409",1,92,97.9932,90,NA,787,803,3652,4983,5878
2014,"University of Nebraska"," NE","CO11D1414",1,88,88.011,85,NA,770,830,4223,4519,6005
2014,"University of Nebraska"," NE","CO11D1418",1,76,88.011,80,NA,807,830,4781,5272,5481
2014,"University of Nebraska"," NE","CO11D1431",1,76,97.9932,80,NA,786,786,4479,5104,4627
2014,"University of Nebraska"," NE","CO11D1539",1,90,86.0044,88,NA,779,812,4385,4855,6194
2014,"University of Nebraska"," NE","CO11D1542",1,88,80.01,87,NA,753,792,4607,4257,5777
2014,"University of Nebraska"," NE","CO11D1543",1,92,86.0044,96,NA,783,812,3638,4586,5501
2014,"University of Nebraska"," NE","CO11D1545",1,86,88.011,90,NA,792,824,4365,4755,6167
2014,"University of Nebraska"," NE","CO11D1555W",1,76,91.9988,84,NA,818,846,3672,4748,5299
2014,"University of Nebraska"," NE","CO11D1559",1,74,88.011,86,NA,810,831,3248,4519,4876
2014,"University of Nebraska"," NE","CO11D1584",1,82,99.9998,92,NA,822,811,2858,4163,4600
2014,"University of Nebraska"," NE","CO11D1600W",1,78,91.9988,92,NA,797,831,3672,4701,5676
2014,"University of Nebraska"," NE","CO11D1615",1,70,89.9922,78,NA,777,816,3941,4943,4835
2014,"University of Nebraska"," NE","CO11D1620",1,76,81.9912,76,NA,761,780,3632,4983,5030
2014,"University of Nebraska"," NE","CO11D1631",1,80,89.9922,78,NA,759,775,3517,5319,5293
2014,"University of Nebraska"," NE","CO11D1633",1,82,86.0044,90,NA,739,793,3416,4512,5192
2014,"University of Nebraska"," NE","CO11D1642",1,78,89.9922,80,NA,803,776,3053,4788,4822
2014,"University of Nebraska"," NE","CO11D1644",1,80,97.9932,70,NA,815,768,2919,5050,3981
2014,"University of Nebraska"," NE","CO11D1645",1,82,88.011,74,NA,805,797,3309,4573,3806
2014,"University of Nebraska"," NE","CO11D1647",1,76,88.011,74,NA,812,833,3712,5319,5393
2014,"University of Nebraska"," NE","CO11D1654",1,72,81.9912,72,NA,778,767,3705,4835,4230
2014,"University of Nebraska"," NE","CO11D1656",1,74,70.0024,70,NA,779,792,3026,3719,3073
2014,"University of Nebraska"," NE","CO11D1657",1,78,80.01,72,NA,741,781,3403,4028,4708
2014,"University of Nebraska"," NE","CO11D1665",1,74,75.9968,66,NA,790,754,3235,3477,3322
2014,"University of Nebraska"," NE","CO11D1686",1,78,83.9978,80,NA,764,785,4492,2690,5777
2014,"University of Nebraska"," NE","CO11D1715",1,80,83.9978,84,NA,793,803,3665,4479,5232
2014,"University of Nebraska"," NE","CO11D1731",1,76,80.01,72,NA,794,776,3948,3329,4089
2014,"University of Nebraska"," NE","CO11D1746",1,86,86.0044,80,NA,787,844,3410,4734,5178
2014,"University of Nebraska"," NE","CO11D1758W",1,76,81.9912,76,NA,796,794,2919,2791,4439
2014,"University of Nebraska"," NE","CO11D1767",1,76,80.01,78,NA,746,795,3248,4701,5972
2014,"University of Nebraska"," NE","CO11D1789",1,78,86.0044,80,NA,738,790,2307,3551,5528
2014,"University of Nebraska"," NE","CO11D1799",1,80,84.9884,80,NA,760,750,3127,4512,4963
2014,"University of Nebraska"," NE","CT103",1,74,96.012,60,NA,814,808,3120,4190,2939
2014,"University of Nebraska"," NE","CT110",1,82,89.9922,50,NA,716,677,2535,2986,2663
2014,"University of Nebraska"," NE","CT111",1,76,86.0044,66,NA,776,703,3524,4089,2690
2014,"University of Nebraska"," NE","CT112",1,74,81.9912,73,NA,761,745,2192,2878,2152
2014,"University of Nebraska"," NE","CT115",1,78,91.9988,66,NA,780,677,3107,4075,1863
2014,"University of Nebraska"," NE","CT125",1,76,89.9922,68,NA,759,750,3309,3342,1439
2014,"University of Nebraska"," NE","CT135",1,78,73.9902,62,NA,782,713,2818,4109,2421
2014,"University of Nebraska"," NE","CT154",1,70,73.9902,68,NA,737,709,1688,3188,2643
2014,"University of Nebraska"," NE","CT163",1,78,80.01,70,NA,681,745,2058,2293,2744
2014,"University of Nebraska"," NE","CT185",1,82,96.012,68,NA,792,743,3504,3786,2683
2014,"University of Nebraska"," NE","CT194",1,70,83.9978,74,NA,737,761,3611,4539,3403
2014,"University of Nebraska"," NE","CT199",1,78,83.9978,68,NA,781,677,3618,4048,2320
2014,"University of Nebraska"," NE","CT213",1,82,89.9922,66,NA,780,752,3410,4761,2717
2014,"University of Nebraska"," NE","CT224",1,75,83.9978,74,NA,773,748,2125,3268,1742
2014,"University of Nebraska"," NE","CT237",1,70,75.9968,66,NA,766,748,2535,3961,3046
2014,"University of Nebraska"," NE","CT30",1,70,73.9902,64,NA,785,750,1970,2730,1675
2014,"University of Nebraska"," NE","CT38",1,78,81.9912,72,NA,805,750,3275,4082,2091
2014,"University of Nebraska"," NE","CT64",1,70,81.9912,58,NA,786,752,3026,4391,1977
2014,"University of Nebraska"," NE","CT69",1,90,96.012,88,NA,802,744,3652,3974,2804
2014,"University of Nebraska"," NE","CT95",1,74,81.9912,56,NA,798,750,3847,4210,2428
2014,"University of Nebraska"," NE","GOODSYN12",1,100,103.9876,98,NA,810,804,2650,4687,4432
2014,"University of Nebraska"," NE","GOODSYN17",1,102,113.9952,101,NA,794,820,2650,4580,4546
2014,"University of Nebraska"," NE","GOODSYN23",1,100,99.9998,100,NA,780,750,3174,4613,4970
2014,"University of Nebraska"," NE","GOODSYN28",1,98,96.012,96,NA,803,808,3087,3948,5010
2014,"University of Nebraska"," NE","GOODSYN35",1,96,107.0102,90,NA,793,794,2966,5172,4741
2014,"University of Nebraska"," NE","GOODSYN37",1,94,110.0074,100,NA,771,759,1365,3598,4519
2014,"University of Nebraska"," NE","GOODSYN43",1,92,110.0074,98,NA,788,795,2266,4452,4270
2014,"University of Nebraska"," NE","GOODSYN44",1,102,111.9886,104,NA,794,694,3679,4230,3705
2014,"University of Nebraska"," NE","GOODSYN5",1,100,116.0018,110,NA,800,811,2340,3282,5508
2014,"University of Nebraska"," NE","GOODSYN51",1,80,103.9876,88,NA,796,812,2280,4950,3860
2014,"University of Nebraska"," NE","GOODSYN58",1,92,89.9922,102,NA,813,797,2011,5454,4425
2014,"University of Nebraska"," NE","GOODSYN61",1,80,103.9876,85,NA,785,721,1607,4250,3221
